N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"56,100",200,+0.36%,100,"3,349,048","5,969,783",55.97,"14,994,409",17.55,8.69,
2,SK하이닉스,"75,500","1,000",+1.34%,"5,000","549,642","728,002",47.23,"4,267,601",24.04,4.25,
3,삼성바이오로직스,"820,000","21,000",+2.63%,"2,500","542,553","66,165",10.31,"130,125",157.97,4.77,
4,NAVER,"320,000","7,500",+2.40%,100,"525,643","164,263",55.42,"780,250",74.59,10.56,
5,LG화학,"702,000","3,000",+0.43%,"5,000","495,558","70,592",36.31,"569,588",392.62,1.84,
6,셀트리온,"310,000","9,000",+2.99%,"1,000","418,481","134,994",21.42,"801,401",104.55,11.19,
7,삼성전자우,"48,600",50,-0.10%,100,"399,923","822,887",88.10,"1,418,079",15.21,N/A,
8,현대차,"161,500","5,500",+3.53%,"5,000","345,074","213,668",32.23,"2,883,525",17.11,4.32,
9,카카오,"380,000","10,000",+2.70%,500,"334,453","88,014",32.30,"959,441",-128.29,-5.81,
10,삼성SDI,"438,000","14,500",+3.42%,"5,000","301,189","68,765",41.43,"526,041",160.91,2.94,
11,LG생활건강,"1,543,000","20,000",-1.28%,"5,000","240,989","15,618",45.30,"25,652",35.19,20.32,
12,삼성물산,"117,000","1,500",+1.30%,100,"218,658","186,887",14.53,"490,468",20.44,4.77,
13,현대모비스,"217,000","6,000",+2.84%,"5,000","206,269","95,055",44.00,"295,222",11.82,7.28,
14,SK텔레콤,"242,000","6,500",+2.76%,500,"195,405","80,746",34.94,"535,618",19.86,3.92,
15,엔씨소프트,"841,000","18,000",+2.19%,500,"184,633","21,954",49.83,"105,888",38.50,14.72,
16,POSCO,"199,000",0,0.00%,"5,000","173,502","87,187",52.74,"204,855",18.92,4.18,
17,기아차,"41,550",800,+1.96%,"5,000","168,428","405,363",39.10,"1,794,876",15.82,6.50,
18,KB금융,"36,950",200,+0.54%,"5,000","153,641","415,808",65.52,"1,251,521",4.83,8.92,
19,SK,"212,000",500,+0.24%,200,"149,164","70,360",22.45,"198,523",-408.48,4.31,
20,LG전자,"90,600",300,+0.33%,"5,000","148,265","163,648",34.55,"1,255,348",36.36,0.22,
21,LG,"85,400",400,-0.47%,"5,000","147,364","172,557",34.88,"302,233",12.31,5.87,
22,신한지주,"30,700",50,-0.16%,"5,000","146,561","477,397",63.12,"1,087,842",4.42,9.09,
23,SK이노베이션,"152,500","2,500",-1.61%,"5,000","141,010","92,466",23.90,"1,138,777",-6.25,-0.20,
24,SK바이오팜,"168,000","5,500",+3.38%,500,"131,566","78,313",2.13,"389,194",-152.73,-313.66,
25,넷마블,"152,000","4,000",+2.70%,100,"130,426","85,807",22.85,"382,815",76.38,3.54,
26,한국전력,"19,950",50,-0.25%,"5,000","128,072","641,964",17.78,"2,387,744",-13.90,-3.42,
27,삼성에스디에스,"159,500","1,500",+0.95%,500,"123,418","77,378",12.58,"139,235",23.68,11.76,
28,삼성생명,"60,100",700,+1.18%,500,"120,200","200,000",12.28,"962,972",15.82,3.26,
29,KT&G,"85,100",900,+1.07%,"5,000","116,836","137,292",42.77,"340,300",11.38,12.39,
30,아모레퍼시픽,"176,000","2,000",+1.15%,500,"102,887","58,458",31.19,"370,543",88.49,5.36,
31,삼성전기,"129,000","2,500",+1.98%,"5,000","96,355","74,694",33.23,"381,750",19.38,10.18,
32,하나금융지주,"28,450",100,+0.35%,"5,000","85,419","300,242",64.75,"914,744",3.41,8.77,
33,삼성화재,"178,500",0,0.00%,500,"84,564","47,375",46.77,"101,244",15.30,4.85,
34,고려아연,"403,500","8,000",-1.94%,"5,000","76,140","18,870",24.24,"45,252",12.29,9.76,
35,한온시스템,"12,900","1,000",-7.19%,100,"68,860","533,800",20.94,"2,668,422",41.35,14.98,
36,S-Oil,"57,900",600,-1.03%,"2,500","65,185","112,583",74.72,"232,660",-7.96,1.01,
37,우리금융지주,"8,680",90,+1.05%,"5,000","62,693","722,268",26.49,"1,292,125",3.35,N/A,
38,KT,"23,900",0,0.00%,"5,000","62,406","261,112",45.40,"894,583",10.42,4.61,
39,코웨이,"84,100","1,000",+1.20%,500,"62,065","73,800",60.33,"128,814",17.68,30.74,
40,한국조선해양,"87,500",200,-0.23%,"5,000","61,926","70,773",16.81,"244,212",58.84,1.40,
41,기업은행,"8,280",90,+1.10%,"5,000","61,161","738,664",11.88,"1,117,011",3.60,7.36,
42,CJ제일제당,"406,000","9,000",+2.27%,"5,000","61,120","15,054",22.15,"67,576",10.22,3.16,
43,미래에셋대우,"9,320",90,+0.98%,"5,000","60,143","645,316",13.31,"2,627,194",12.63,7.56,
44,오리온,"150,000","2,000",+1.35%,500,"59,304","39,536",44.32,"89,740",22.38,14.24,
45,롯데케미칼,"171,000",500,-0.29%,"5,000","58,611","34,275",29.14,"90,688",32.63,5.51,
46,KODEX 200,"30,955",340,+1.11%,0,"57,282","185,050",9.12,"5,170,303",N/A,N/A,
47,포스코케미칼,"90,300","1,800",+2.03%,500,"55,072","60,988",7.78,"522,110",106.49,11.57,
48,LG디스플레이,"15,100","1,750",+13.11%,"5,000","54,030","357,816",21.59,"16,114,354",-1.86,-22.35,
49,신풍제약,"100,500","9,500",+10.44%,500,"53,250","52,985",3.00,"6,392,973","3,045.45",0.80,
50,LG유플러스,"12,000",150,+1.27%,"5,000","52,393","436,611",31.99,"1,832,298",10.48,6.30,
51,한화솔루션,"31,700",800,+2.59%,"5,000","50,677","159,864",20.27,"2,366,967",-30.60,-4.02,
52,SK케미칼,"400,000","4,500",+1.14%,"5,000","46,966","11,741",11.42,"323,310",171.82,1.51,
53,현대글로비스,"122,500","2,000",+1.66%,500,"45,938","37,500",34.10,"115,527",8.35,11.25,
54,한진칼,"74,700",300,-0.40%,"2,500","44,200","59,170",17.01,"159,232",-11.50,-17.56,
55,강원랜드,"20,650",0,0.00%,500,"44,179","213,940",25.24,"778,385",-217.37,9.16,
56,아모레G,"53,200",300,-0.56%,500,"43,868","82,458",20.88,"90,839",47.97,4.12,
57,유한양행,"65,500",400,-0.61%,"1,000","43,791","66,857",21.34,"586,047",26.42,2.43,
58,맥쿼리인프라,"11,050",0,0.00%,0,"38,569","349,044",19.04,"618,757",N/A,N/A,
59,한미사이언스,"57,400","1,400",+2.50%,500,"37,890","66,011",2.12,"274,191",133.80,4.73,
60,현대중공업지주,"233,500","2,000",-0.85%,"5,000","36,890","15,799",19.08,"35,220",-29.72,2.20,
61,LG이노텍,"155,000","8,500",+5.80%,"5,000","36,684","23,667",33.07,"227,624",16.05,4.73,
62,에스원,"95,300",200,-0.21%,500,"36,213","37,999",56.02,"44,414",24.48,11.32,
63,현대건설,"32,400",100,-0.31%,"5,000","36,079","111,356",22.35,"716,762",8.29,6.30,
64,SKC,"94,900","6,800",+7.72%,"5,000","35,620","37,535",8.72,"1,056,486",34.38,3.86,
65,한국타이어앤테크놀로지,"28,750",100,+0.35%,500,"35,614","123,875",38.18,"278,757",12.02,6.03,
66,현대제철,"26,650","1,250",+4.92%,"5,000","35,563","133,446",19.07,"1,115,931",-16.76,0.10,
67,한미약품,"294,000","4,500",+1.55%,"2,500","34,818","11,843",15.00,"68,830",96.58,7.30,
68,삼성카드,"29,350",500,+1.73%,"5,000","34,005","115,859",9.87,"125,027",10.12,5.04,
69,CJ대한통운,"146,000","1,500",-1.02%,"5,000","33,306","22,812",20.49,"59,247",36.85,1.41,
70,한국금융지주,"58,800",900,+1.55%,"5,000","32,767","55,726",34.01,"386,030",7.65,18.14,
71,녹십자,"279,000","7,000",+2.57%,"5,000","32,605","11,687",18.21,"796,598",545.99,-0.35,
72,삼성중공업,"5,170",0,0.00%,"5,000","32,571","630,000",15.73,"2,552,450",-1.79,-21.88,
73,이마트,"115,500","2,500",-2.12%,"5,000","32,197","27,876",30.76,"286,119",5.79,2.76,
74,금호석유,"104,500","3,000",+2.96%,"5,000","31,839","30,468",33.42,"175,669",11.96,11.84,
75,DB손해보험,"44,850",350,-0.77%,500,"31,754","70,800",39.75,"138,017",6.94,6.92,
76,롯데지주,"29,950",400,-1.32%,200,"31,420","104,909",11.55,"182,137",-5.87,-5.21,
77,대한항공,"17,750",150,-0.84%,"5,000","30,922","174,210",11.92,"1,310,572",-2.64,-22.09,
78,GS,"32,500",400,-1.22%,"5,000","30,197","92,915",21.04,"329,715",62.98,6.26,
79,현대차2우B,"82,000","1,200",+1.49%,"5,000","29,918","36,485",62.94,"205,275",8.69,N/A,
80,더존비즈온,"100,500","1,100",+1.11%,500,"29,821","29,673",46.11,"101,189",62.73,18.78,
81,쌍용양회,"5,730",140,+2.50%,"1,000","28,871","503,860",3.02,"2,034,646",21.62,7.02,
82,LG화학우,"371,500","4,500",+1.23%,"5,000","28,564","7,689",55.92,"93,571",207.77,N/A,
83,호텔신라,"70,700",700,-0.98%,"5,000","27,748","39,248",21.79,"360,997",-37.39,20.16,
84,대림산업,"78,500",300,-0.38%,"5,000","27,318","34,800",40.21,"163,395",4.42,11.74,
85,하이트진로,"38,900",0,0.00%,"5,000","27,282","70,134",10.42,"542,031",40.19,-3.86,
86,두산밥캣,"27,050",500,-1.81%,500,"27,117","100,249",22.83,"302,584",14.81,7.05,
87,TIGER 200,"30,965",360,+1.18%,0,"26,971","87,100",7.22,"1,286,391",N/A,N/A,
