Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
NIO,NIO Limited,17.15,+2.18,+14.58%,194.491M,123.017M,20.316B,N/A,
AAL,American Airlines Group Inc.,13.09,-0.35,-2.60%,65.078M,97.328M,6.657B,N/A,
GE,General Electric Company,6.53,-0.10,-1.43%,48.191M,89.783M,57.203B,N/A,
AAPL,Apple Inc.,495.90,-7.52,-1.49%,35.587M,38.732M,2.12T,37.61,
F,Ford Motor Company,6.93,-0.05,-0.64%,35.623M,78.925M,27.59B,N/A,
BAC,Bank of America Corporation,26.03,+0.34,+1.32%,32.082M,70.711M,225.527B,12.53,
AMD,"Advanced Micro Devices, Inc.",85.52,+2.44,+2.94%,30.574M,61.896M,100.406B,166.38,
RKT,"Rocket Companies, Inc.",28.55,-0.56,-1.94%,30.463M,36.448M,56.626B,N/A,
UAL,"United Airlines Holdings, Inc.",35.06,-1.26,-3.47%,29.929M,59.276M,10.202B,N/A,
CCL,Carnival Corporation & Plc,15.63,-0.51,-3.15%,27.01M,44.239M,13.708B,N/A,
BA,The Boeing Company,174.11,-4.16,-2.33%,24.872M,45.471M,98.276B,N/A,
INTC,Intel Corporation,49.33,+0.19,+0.38%,24.468M,30.705M,209.779B,9.06,
GPS,"The Gap, Inc.",16.88,+1.38,+8.90%,21.527M,15.895M,6.304B,N/A,
DKNG,DraftKings Inc.,39.74,+3.93,+10.97%,20.585M,14.489M,14.061B,N/A,
BABA,Alibaba Group Holding Limited,287.68,+11.66,+4.22%,20.516M,17.187M,769.316B,82.26,
DAL,"Delta Air Lines, Inc.",29.89,+0.09,+0.29%,19.871M,39.455M,19.062B,N/A,
NCLH,Norwegian Cruise Line Holdings Ltd.,16.53,-0.21,-1.25%,19.752M,54.457M,4.556B,N/A,
WFC,Wells Fargo & Company,24.44,-0.05,-0.18%,19.261M,47.822M,100.715B,26.34,
FB,"Facebook, Inc.",280.54,+9.15,+3.37%,18.811M,24.758M,799.208B,34.30,
XOM,Exxon Mobil Corporation,40.87,-1.35,-3.21%,17.501M,22.177M,172.788B,24.34,
CRM,"salesforce.com, inc.",216.28,+7.82,+3.75%,16.311M,5.781M,194.868B,N/A,
PFE,Pfizer Inc.,38.18,-0.66,-1.70%,15.875M,30.988M,212.162B,15.11,
MU,"Micron Technology, Inc.",45.08,+1.32,+3.01%,15.635M,21.582M,50.078B,22.64,
LI,Li Auto Inc.,18.25,+1.16,+6.79%,15.26M,11.275M,15.263B,N/A,
PLUG,Plug Power Inc.,12.63,+0.29,+2.33%,14.339M,27.571M,5.073B,N/A,
