N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"56,400","2,000",+3.68%,100,"3,366,957","5,969,783",55.76,"27,149,112",17.65,8.69,
2,SK하이닉스,"78,700","3,200",+4.24%,"5,000","572,938","728,002",47.14,"6,977,137",25.06,4.25,
3,NAVER,"339,000","6,500",+1.95%,100,"556,853","164,263",55.33,"774,209",79.02,10.56,
4,LG화학,"768,000","26,000",+3.50%,"5,000","542,149","70,592",36.19,"683,350",132.39,1.84,
5,삼성바이오로직스,"779,000","9,000",+1.17%,"2,500","515,425","66,165",10.19,"131,644",150.07,4.77,
6,셀트리온,"299,500","1,000",-0.33%,"1,000","404,306","134,994",21.22,"491,422",101.01,11.19,
7,삼성전자우,"47,900",800,+1.70%,100,"394,163","822,887",87.74,"3,651,941",14.99,N/A,
8,현대차,"176,500",500,+0.28%,"5,000","377,124","213,668",31.84,"1,830,914",25.43,4.32,
9,카카오,"410,000","2,000",-0.49%,500,"360,857","88,014",32.09,"734,704",-234.29,-5.81,
10,삼성SDI,"452,500",500,+0.11%,"5,000","311,159","68,765",41.95,"390,510",166.24,2.94,
11,LG생활건강,"1,483,000","16,000",-1.07%,"5,000","231,618","15,618",45.24,"20,471",33.82,20.32,
12,현대모비스,"233,500","2,000",-0.85%,"5,000","221,953","95,055",43.73,"423,895",12.72,7.28,
13,삼성물산,"109,500","1,000",+0.92%,100,"204,641","186,887",14.43,"451,448",19.13,4.77,
14,SK텔레콤,"241,000","1,500",-0.62%,500,"194,597","80,746",35.71,"363,883",19.78,3.92,
15,엔씨소프트,"835,000","15,000",-1.76%,500,"183,316","21,954",49.71,"69,379",35.17,14.72,
16,기아차,"42,700",500,+1.18%,"5,000","173,090","405,363",38.86,"1,378,446",16.26,6.50,
17,넷마블,"194,500","21,500",+12.43%,100,"166,894","85,807",22.62,"4,742,133",80.47,3.54,
18,POSCO,"189,000","1,000",+0.53%,"5,000","164,783","87,187",52.22,"262,671",17.97,4.18,
19,KB금융,"37,400",300,-0.80%,"5,000","155,512","415,808",65.55,"1,491,411",4.89,8.92,
20,SK,"216,500","1,000",-0.46%,200,"152,330","70,360",22.28,"180,105",-417.15,4.31,
21,LG,"83,000",300,-0.36%,"5,000","143,222","172,557",34.90,"320,804",17.72,5.87,
22,신한지주,"30,000",200,-0.66%,"5,000","143,219","477,397",62.54,"1,608,088",4.51,9.09,
23,SK바이오팜,"182,000",500,+0.28%,500,"142,530","78,313",2.18,"560,968",-165.45,-313.66,
24,LG전자,"85,700",800,-0.92%,"5,000","140,246","163,648",34.32,"761,302",34.39,0.22,
25,SK이노베이션,"151,000","3,000",+2.03%,"5,000","139,623","92,466",23.58,"718,909",-6.18,-0.20,
26,한국전력,"21,050",100,-0.47%,"5,000","135,133","641,964",17.68,"3,504,040",-14.67,-3.42,
27,삼성생명,"64,300",200,+0.31%,500,"128,600","200,000",12.21,"799,567",14.30,3.26,
28,삼성에스디에스,"159,500","2,000",-1.24%,500,"123,418","77,378",12.58,"106,085",23.68,11.76,
29,KT&G,"83,600","1,100",-1.30%,"5,000","114,777","137,292",42.44,"410,149",11.18,12.39,
30,아모레퍼시픽,"172,000",500,+0.29%,500,"100,549","58,458",31.12,"213,808",86.48,5.36,
31,삼성전기,"130,000","1,500",+1.17%,"5,000","97,102","74,694",32.63,"1,136,098",40.01,10.18,
32,삼성화재,"188,000","3,500",-1.83%,500,"89,065","47,375",47.13,"74,805",14.37,4.85,
33,하나금융지주,"28,050",450,-1.58%,"5,000","84,218","300,242",64.59,"1,850,446",3.32,8.77,
34,신풍제약,"156,500","1,500",-0.95%,500,"82,922","52,985",6.87,"3,022,524","4,742.42",0.80,
35,고려아연,"402,000","1,500",-0.37%,"5,000","75,857","18,870",24.23,"42,086",13.79,9.76,
36,한화솔루션,"45,700","6,150",+15.55%,"5,000","73,058","159,864",19.84,"22,460,543",-44.11,-4.02,
37,한온시스템,"12,700",450,-3.42%,100,"67,793","533,800",20.95,"1,289,402",40.71,14.98,
38,S-Oil,"57,400",100,+0.17%,"2,500","64,623","112,583",74.26,"340,949",-7.89,1.01,
39,롯데케미칼,"183,500","3,000",+1.66%,"5,000","62,895","34,275",29.50,"320,394",35.01,5.51,
40,미래에셋대우,"9,720",50,-0.51%,"5,000","62,725","645,316",13.28,"2,625,554",11.57,7.56,
41,KT,"23,800",50,-0.21%,"5,000","62,145","261,112",45.29,"647,723",10.37,4.61,
42,우리금융지주,"8,590",30,-0.35%,"5,000","62,043","722,268",26.32,"1,065,400",4.53,N/A,
43,한국조선해양,"87,600",200,-0.23%,"5,000","61,997","70,773",16.54,"220,238",58.91,1.40,
44,기업은행,"8,290",70,+0.85%,"5,000","61,235","738,664",11.75,"1,461,894",3.97,7.36,
45,CJ제일제당,"401,500",0,0.00%,"5,000","60,443","15,054",22.41,"56,993",10.11,3.16,
46,코웨이,"81,000",100,-0.12%,500,"59,778","73,800",60.36,"143,419",17.03,30.74,
47,포스코케미칼,"89,700","1,000",+1.13%,500,"54,706","60,988",7.53,"422,134",105.78,11.57,
48,오리온,"137,000","2,000",-1.44%,500,"54,164","39,536",44.37,"70,491",20.44,14.24,
49,KODEX 200,"31,615",470,+1.51%,0,"53,493","169,200",12.25,"5,515,582",N/A,N/A,
50,LG디스플레이,"14,850",50,-0.34%,"5,000","53,136","357,816",21.38,"2,684,740",-1.83,-22.35,
51,현대글로비스,"141,000","1,000",-0.70%,500,"52,875","37,500",34.56,"137,775",9.61,11.25,
52,LG유플러스,"12,000",100,-0.83%,"5,000","52,393","436,611",31.98,"1,846,047",10.48,6.30,
53,SK케미칼,"414,500","1,000",-0.24%,"5,000","48,668","11,741",11.69,"240,618",21.32,1.51,
54,한진칼,"76,700",600,-0.78%,"2,500","45,384","59,170",17.25,"98,065",-11.81,-17.56,
55,강원랜드,"21,100",250,-1.17%,500,"45,141","213,940",25.16,"640,365",-222.11,9.16,
56,유한양행,"66,900",200,+0.30%,"1,000","44,727","66,857",21.24,"458,533",26.99,2.43,
57,아모레G,"52,100",0,0.00%,500,"42,961","82,458",20.74,"88,163",71.08,4.12,
